Question Number,Question,Option A,Option B,Option C,Option D,Option E,Option F,Correct Answer,Level,Medical Specialty,Group,umbrella_specialty,,,,,,,,,,,
256,توجد المفصلات:,حيث يغادر الذراع جسم الميوزين,حيث يرتبط الرأسان بالذراع,كل ما سبق صحيح,كل ما سبق خاطئ,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
202,الحموض الأمينية والغلوكوز,تطرح بشكل كامل في النبيب الداني.,تمتص بشكل كامل في النبيب الداني بشكل فعال.,تطرح جزئيا في النبيب الداني.,كل ماسبق.,,,B,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
152,لمعرفة حجم الدم نستخدم,الاينول.,الانتريبرين.,أزرق ايفانس,الهياتوكريت.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
102,أحد اسباب زيادة الأسس:,حمى العلف.,البنسلين.,الحمى التيفية.,قصور الغدة الدرقية.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
19,ان CRP:,يوجد في الكبد لكن لا يفرز منه,انخفاضه بالدم يعني ان الشخص مصاب بالتهاب حاد,مشعر حساسيته اقل من حساسية سرعة التنقل,كل ما سبق خاطئ,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
138,الخيار الصحيح بالنسبة لجهاز الدوران والقلب:,حجم الدم في الدوران العام مساو له في الدوران الرئوي.,الضغط الرئوي مساو للضغط الأبهري.,نتاج القلب الأيمن مساو لنتاج القلب الأيسر.,نتاج القلب هو مجموع نتاج البطينين.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
960,توجد العضلات المخططة الارادية في كل ما يلي عدا :,الفم والبلعوم,القسم العلوي من المرئي,المعصرة الشرجية الداخلية,المعصرة الشرجية الخارجية,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
612,يزداد نتاج القلب عند كل ما يلي عدا :,تناقص زمن الانبساط,ازدياد التقلص الأذيني,ازدياد طول الليف البدني,ازدياد قوة التقلص,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
73,كل مما يلي صحيح عن الهرمون المنشط لقشر الكظر (ACTH) ما عدا:,يؤثر في لب الكظر,يفرز من الوطاء,يحرض إفراز الكورتيزول,كل مما سبق خاطئ,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1044,يعمل الكبد على انتاج : .,البروترومبين ومولد الليفين والالبومين,الصفراء,البولة و الامونياك,كل ما سبق صحيح,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
640,يحدث تأخير للتنبيه مقداره 0.1 ثانية عندما يمر التنبيه,العقدة الجيبية الأذينية,العقدة الأذينية البطينية,حزمة هيس,الياف بوركنج,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
237,تسمح بالقباض الأدينين قبل البطينين:,SA node,AV node,bundle of hiss,Purkinje fibers,,,B,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
729,يواجه تأثير الجاذبية :,فرط الضغط,الموجة النبضية,الدسامات الوريدية,الفعالية التنفسية,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
65,عند ارتفاع درجة حرارة الجسم المركزية يحدث:,ازدياد نتاج القلب,توسع وعائي,تعرق,كل ما سبق صحيح,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
244,محور القلب :,ينحرف عن الطبيعي بسبب تغيرات موقع القلب.,المجال الطبيعي له بين ال ٦٠ وال ۱۰۰,ان كانت الزاوية ٥٩ ينحرف لليمين.,ان كانت الزاوية - ٥٩ ينحرف لليسار.,,,A,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
1061,في الظروف الملائمة عندما يحدث منعكس التغوط يحدث كل ما يلي عدا :,ترتخي المعصرة الشرجية الداخلية,تتقلص المعصرة الشرجية الخارجية,تتقلص عضلات البطن والحجاب,تنغلق الرغامي,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
770,يبلغ نحو 500 مل عند الرجل البالغ المتوسط :,الحجم الجاري,الحجم المثالي,الشهيق المدخر,الزفير المدخر,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
3,كل كل مما يلي يرفع الضغط الشرياني عدا:,الألدوسترون.,,الهيستامين.,هرمون الدرق.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
4,الصوت القلبي الرابع ينجم عن:,اهتزاز الدم جينة وذهاباً بين جدران البطينين.,استرخاء البطينين.,الانقباض الأذيني الفعال.,انغلاق الصمامات السينية.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
261,من العوامل المؤثرة على نبضات القلب عدا:,درجة الحرارة.,حجم الجسم.,التنفس.,كل ماسبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
574,تفع مراكز التي تتحكم بعمل القلب في :,الوطاء,المهاد,البصلة السيسانية,قشرة المخ,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
247,المرحلة . من كمون عمل العضلة القلبية,زوال الاستقطاب حتى + ۲۰.,انفتاح أقنية الصوديوم السريعة و معها أقنية الصوديوم والكالسيوم البيئة.,تتوافق مع موجة QRS بالتخطيط القلبي.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
384,أحد هذه العوامل مثبط للاتصاق الصفيحات مع بعضها البعض:,الثرمبوكسان A2,ADP,البروستاسايكلين,السيروتونين,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
15,بالنسبة البلازما :,شاردة K هي العامل الرئيسي للبلازما.,تركيز شاردة الصوديوم فيها %9%.,سائل يتكون من ماء ومواد مذابة.,نسبة البروتينات فيها من 90-70,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
31,كل ما يلي من أجهزة التحكم في الجسم عدا:,الجهاز العصبي الجسمي.,الجملة العصبية الذاتية.,جهاز الهضم.,الغدد الصم.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
135,الخلايا المقدمة للمستضد في النسيج اللمفاوي هي:,البالغات.,اللمفاويات .,الخلايا المتغصنة.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
417,يرتفع الضغط النخماصي للأسناخ في الحالات التالية عدا:,زيادة كمية السورفاكتانت في الاسناخ,صغر الأسناخ,زيادة التوتر السطحي,تخّرب الخلايا الظهارية الإفرازية من النمط II في جدر الاسناخ,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
350,بالنسبة للكريات البيض:,تبدي نشاطها في الدم,حياتها طويلة ضمن الدوران الدموي,بعد اداء مهامها في النسيج لا تعود الى الدم,كل ما سبق خاطئ,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
278,يشير مفهوم المقوية في الجهاز العصبي المستقل:,وجود تعصيب مزدوج ودي ول ودي لنفس العضو,تعاكس في تأثير الودي والال ودي على نفس العضو,وجود مستويات قاعدية من التفريغ الودي والال ودي,تآزر التأثير الودي واللا ودي على نفس العضو,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
127,تخضع المادة التي تبلغ معدل تصفيتها 250مل/دقيقة الى العمليات التالية:,الرشح فقط,الرشح + عود المتصاص الجزئي,الرشح + عود المتصاص الجزئي,الرشح + اإلفراز,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
309,يشير مفهوم التحويلة الفيزيولوجية إلى الأسناخ التي تكون:,تهويتها طبيعية وترويتها ناقصة,تهويتها ناقصة وترويتها الدموية طبيعية,تهويتها وترويتيها أقل من الحالة السوية,نسبة السورفاكتانت فيها مرتفعة,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
105,ينجم الامتصاص في النسج الحيوية بشكل رئيسي عن:,عن جزيئات الماء,عن الجزيئات الضخمة كالبروتينات والأصبغة,عن جزيئات الشحم,"A, B",,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
1031,كل ما يلي صحيح عن الكوليسيستوكينين عدا :,تزيد الافراز البنكرياسي,تقلص الحويصل الصفراوي,يزيد حركية المعدة,يقوي تقلص معصرة المعدة البوابية,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
5,كل ما يلي هو من وظائف اللمف عدا:,دور دفاعي هام.,نقل المواد الغذائية إلى النسج.,إعادة البروتينات التي خرجت من الأوعية الدموية.,نقل الدسم الممتصة من جهاز الهضم.,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
114,في النقل الفاعل الثانوي يستفاد من الطاقة الناتجة عن مدروج التركيز لشاردة:,البوتاسيوم,الكلور,الهيدروجين,الصوديوم,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
3,يتميز علم الفيزيولوجيا:,يرتبط بالوقت ويتغّير بتغّيره,يعتمد على دراسات وصفّية,لا يعتمد على تجارب حّية,يهتم بالتركيب الدقيق ألعضاءالجسم,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
374,الزمن الطبيعي الذى يحتاجه جدار الوعاء كي يتقلص ويغلق مكان الاذية هو:,زمن النزف,زمن التخثر,زمن الارقام,كل ما سبق صحيح,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
7,الضغوطات في الدم والسائل الخلالي :,الضغط الغرواني الموجب يعمل على دفع السوائل لداخل الوعاء الدموي,الضغط الحلولي الموجب يعمل على دفع السوائل لخارج الوعاء الدموي,الضغط الغرواني يعتمد على تركيز البروتينات خاص الالبومين,كل ما سبق صحيح,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
1244,يقوم بصناعة غمد النخاعين في الجهاز العصبي المحيطي :,الخلايا قليلة التغصنات,الخلايا النجمية,الخلايا الدبقية الصغيرة,خلايا شوان,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
325,ترفع العوامل التالية الضغط في المعصرة المريئية السفلية عدا:,زيادة حموضة المعدة,تنبيه الألياف اللاودية,الطعام البروتيني,هرمون السكرتين,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
44,تشكل كمية الماء من وزن الجسم:,في الحيز الخلالي 14-15% من وزن الجسم,في الحيز الوعائي 5% من وزن الجسم,في الاحياز الخاصة 1% من وزن الجسم,كل ما سبق صحيح,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
674,تزداد النفوذية الشعرية بتأثير كل مما يلي عدا:,الكالسيوم,الحماض,الهيستامين,عوز فيتامين C,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
8,سائل ليس له دور في التزليق:,السوائل المصلية.,سائل جهاز الهضم.,سوائل المفاصل.,الصاء.,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
251,يتحرض تشكل الجسم الأصفر بوساطة تأثير:,GnRH,FSH,LH,استروجين,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
362,عند تناول كمية زائدة من الماء يزداد:,حجم البول,الضغط التناضحي للسائل خارج الخلوي,تحرر الهرمون المضاد لإدرار البول,تركيز صوديوم البلازما,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1290,كل مما يلي من المستقبلات المقوية عدا :,المغزل العضلي,مستقبلات الألم,مستقبلات المفاصل,مستقبلات ضغط الدم,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
433,يتطاول زمن التخثر بنقص كل ما يلي عدا:,الفيتامين k,العامل 5,الفيتامين c,العامل 11,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
125,في حالة الراحة تكون بوابتا قناة الصوديوم:,مفتوحتان,مغلقتان,بوابة التفعيل مفتوحة والتعطيل مغلقة,بوابة التفعيل مغلقة والتعطيل مفتوحة,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
257,تناقص تواتر كمونات الفعل عند تنبيه المستقبل بصورة متواصلة:,المنبه المالئم,الاستثارية,التلاؤم,التلقائيه,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
127,الأضداد:,نوعي.,يتألف من سلسلتين ثقيلتين و سلسلتين خفيفتين.,له ثلاث أقسام اثنان متغيران و واحد ثابت.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
34,نتاج القلب في كل مما يلي عدا,نقص العود الوريدي,زيادة معدل النبض أكثر من ١٦٠ ض/د,الرجفان الأذيني,احتشاء العضلة القلبية,ارتفاع الضغط حتى ١٦٠ ملم ز,,E,Y2,Physiology,ABCDE,Physiology,,,,,,,,,,,
230,كل مما يلي يزيد الإفراز المعدي عدا:,الغاسترين,الهيستامين,السكرتين,تنبيه الألياف اللاوديه,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
163,الاستقلاب الطاقي في اللب :,تأكسدي.,هوائي,يعتمد على الحموض الدسمة.,كل ما سبق خاطئ.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
462,تتميز الألياف العضلية البطيئة بما يلي عدا:,صغيرة القطر مقارنة بالسريعة,أعداد المتقدرات فيها أكثر من الألياف السريعة,تحوي كمية كبيرة من الميوغلوبين,تحوي على شبكة هيولية عضلية واسعة,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
64,تستخدم الليزرات الصباغية في:,معالجة الوحمات الوعائية واضطرابات وعائية أخرى,معالجة الندبات وحب الشباب,إزالة الوشم وفي دراسة أطياف امتصاص وإصدار مختلف المواد,كل ما سبق صحيح,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
775,اكبر حجم يمكن أن تتمدد اليه الرئة باستخدام أكبر جهد تنفسي ممكن :,السعة الشهيقية IC,السعة الحياتية VC,السعة الوظيفية المدخرة FRC,السعة الكلية للرئة TLC,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
244,الأقراص المقدمة:,نفوذة للتيار الكهربائي.,عبارة عن أغشية خلوية.,تفصل الخلايا القلبية المستقلة.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
25,في تكون خلايا الدم الحمراء,هو انتاج خلايا الدم الحمراء جديدة لتحل محل القديمة عند موتها.,نخاع العظم مسؤول عن هذه الوظيفة عند البالغين.,الخلايا الجذعية متعددة القدرات قادرة على انتاج اي نوع من خلايا الدم.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
576,كل ما يلي من تأثيرات المركز المسرع القلبي عدا:,يتوسط تأثيره الأدرينالين و النور أدرينالين,ينقل عبر المبهم,يزيد عند ضربات القلب,يقع في البصلة السيسانية.,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
760,الخاطئ فيما يتعلق بقوة مرونة الفسيح الرئوي :,,في الرئة المفرغة تكون الألياف في حالة تقلص جزئي وملتوية,في الرئة المتوسعة تكون الألياف في حالة تمدد و غير ملتوية,مسؤولة عن ثلثي قوة المرونة في الرئة السوية,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
46,بالنسبة لليزرات نصف الناقلة، أيًا من العبارات التالية خاطئة؟,هي ليزرات حالة صلبة ولكنها تتميز بنمط تشغيل مختلف.,تعتمد الليزرات نصف الناقلة على أوساط ربح نصف ناقلة.,يحدث الربح الضوئي عادة بالإصدار التلقائي بالانتقال من عصابة النقل إلى عصابة التكافؤ لدى وجود كثافة عالية من حاملات الشحنة المتحركة في عصابة النقل.,تكون معظم الإلكترونات قبل الضخ في عصابة النقل.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
132,يحدث ارتباط بين الصفيحات المفعلة والكولاجين عبر,بروتين بلازمي,عامل فون ویلبراند.,يفرز من الخلايا البطانية.,كل ماسبق.,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
6,العوامل التى تساعد على منع امتداد التخثر ما يلى عدا,الياف الليفين,الثرومبوموديولين,الهيبارين,الكالسيوم,عديدات السكريد المخاطيه GLYCOCALYX,,D,Y2,Physiology,ABCDE,Physiology,,,,,,,,,,,
4,تعتبر الآليات التالية من الوسائل السريعة لزيادة الضغط الشرياني ما عدا:,زيادة عدد ضربات القلب.,زيادة كمية السوائل في الجسم.,زيادة قوة انقباض العضلة القلبية.,تقبض الأوعية الدموية.,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
466,يعمل الجهاز العصبي الودي في:,الحالات الطارئة التي تهدد الحياة,حشد طاقات الجسم وانفاقها,تهيئة الاعضاء لمواجهة الحالة الجديدة,كل ما سبق صحيح,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1100,الخاطئ فيما يتعلق بالهرمونات الببتيدية :,معظم هرمونات الجسم من هذا النوع,تختزن ضمن الحويصلات الافرازية,قابلة للانحلال بالماء,تنتقل مرتبطة ببروتينات البلازما,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
236,كل مما يلي عد من مفرزات الأمعاء الغليظة عدا:,مخاط,عض الانزيمات الحالة,الماء,الشوارد,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
399,تتصف أصوات القلب في الحالات السّوية بما يلي عدا:,تُسمع أثناء انغلاق الصمامات,لا يترافق انفتاح الصمامات بسماع الأصوات,ينجم الصوت الثالث عن النقباض الأذيني الفعّال,يمكن سماع الصوتين الأول و الثاني بوضوح,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
531,يؤدي تنبيه المبهم في جهاز الهضم إلى ما يلي عدا:,رفع الضغط في معصرة المري السفلية,تحريض الإفراز المعوي,تحريض إفراز الصفراء من الكبد,تحريض إفراز األنزيمات البنكرياسية,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
169,بالنسبة لتراكيز المواد في البلازما و السائل الخلالي,تراكيز الشوارد فيهما متساويان.,تركيز البروتينات في البلازما أعلى.,تراكيز اللاكهارل في البلازمة أعلى.,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
296,يتطاول زمن كامن الفعل في الليف العضلي القلبي نتيجة لـ:,نقص نفوذية الغشاء لشوارد البوتاسيوم,نقص نفوذية الغشاء لشوارد الصوديوم,نقص نفوذية الغشاء لشوارد الكلور,نقص نفوذية الغشاء لشوارد الكالسيوم,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1210,فيما يتعلق بالهرمونات الجنسية المؤنثة، اختر الخاطئ:,يتم افرازها من الخلايا المحببة والخلايا القرابية,تفرزها الطبقة القشرية للمبيض,"يتم افراز GNRH, FSH من المحور الوطائي النخامي بشكل مستمر وليس نبضي",يحرض FSH افراز الاستروجين,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
324,الدائرة المنظم لكميات كبيرة من الهيدروجين -المطرق العظمي,جملة بيكربونات.,جملة فوسفات.,بروتينات.,هيموغلوبين.,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
24,- يبقى الأوكسجين قادراً على التأكسج بشكل تام تقريباً أثناء ممارسة التمارين المجهدة بفضل:,عامل السلامة لانتشار الأوكسجين.,زيادة عدد الشعيرات المشاركة بانتشار الأوكسجين.,B& A,كل ما سبق خاطئ.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
111,الخاطئ فيما مضخة يخص الصوديوم والبوتاسيوم:,لها دور في توطيد الكمون السلبي داخل الخلية,ان 60% من طاقة الخلايا العصبية مخصصة لمضخة الصوديوم والبوتاسيوم,تتفعل تلقائياً عندما تبدأ الخلايا بالانكماش,تتحكم بحجم الخلية,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
267,يؤدي الشهيق الى :,ازدياد الضغط على الصدر.,انخفاض البطن.,زيادة العود الوريدي,كل ماسبق صحيح.,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
10,في آلية التقلّص العضلي يتم تحرير شوارد الكالسيوم من الشبكة الهيولية الباطنة نتيجة:,كمون الراحة,وصول كامن الفعل,خروج شوارد الصوديوم,تفاعل الجسور التصالبية مع خيوط الاكتين,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
908,يعاد امتصاص75% من الماء والصوديوم في:,النبيبات القاصية,النبيبات الدانية,الجزء النازل من عروة هائلة,الجزء الصاعد من عروة هائلة,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
152,كل مما يلي يحل الخثرة ما عدا:,Streptokinase,كالكرين.,الفيبرين.,Urokinase,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
82,وضع الخلايا في محلول مفرط التوتر:,انفجارها,انكماشها,انتباجها,لا تتأثر,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
155,في بعض الحالات النادرة لا يمكن للانتشار المتجدد أن يتضمن إلا عدداً صحيحاً من التفاعلات بحيث لا تشكل عشوائية ... تماماً,القيمة الوسطية,الانزياحات الكبيرة,الاستراحات المتعددة,"B, C",,,A,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
25,القطعة PQ في مخطط كهربية القلب تمثل:,انتقال الموجة من العقدة الجيبية الأذينية إلى البطينين.,انتقال الموجة من قاعدة القلب إلى ذروته.,فترة التقلص البطيني.,طور الهضبة.,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
201,كل ما يلي صحيح عن الالياف السريعة عدا:,كبيرة القطر لإنتاج تقلص قوي,اقل تروية,قلة المتقدرات لان الاستقلاب التأكسدي ثانوي,تعتمد بصوره رئيسية على الاستقلاب التأكسدي,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
38,إضافة طاقة كافية للتداخل مع الروابط الجزيئية في السطح السطحي الذي يتفكك بنجاح في الهواء بأسلوب فائق الإحكام من خلال ما يسمى:,الامتصاص,الإصدار المحفز,التأين,"A, C",,,B,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
573,كل ما يلي يحدث عند انخفاض معدل ضربات القلب عدا,تدخل الخلية بحالة زوال الاستقطاب,يبدأ نشوء كامن الفعل عند قيم أكثر سلبية,,الوصول للعتبة يستغرق زمن اطول,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
212,كل ما يلي صحيح عن الية المزلاج عدا:,المحافظة على تقلص قوي مديد مع صرف طاقة قليل,التقى اللازمه لاستمرار التقلص 1 / 300 من الطاقة اللازمة لاستمرار تقلص العضلات الهيكلية,تحتاج استثاره كبيرة عبر الياف العصب,خاصية للعضلات الملس فقط,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
9,يمكن تصوير الأعضاء الأكثر عمقا شروط في كل ما ياتي ما عدا:,منابع سبنية استطاعتها كبيرة,منابع صوتية استطاعتها كبيرة,حساسية منخفضة,كل ما سبق صحيح,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
349,يتميز مسلك العمود الظهري بما يلي ما عدا:,تكون ألياف هذا المسلك مغمدة بالنخاعين,توجد عصبونات المرتبة الثالثة لهذا المسلك في المهاد,توجد عصبونات المرتبة الثانية لهذا المسلك في النواتين الناحلة والإسفينية,تنتقل الإحساسات الحرارية في هذا المسلك,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
28,أي من الأصوات يسمع عند استرخاء البطينين:,الصوت الأول,الصوت الثاني,الصوت الثالث,الصوت الرابع,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
166,يقع جهاز المقارنة عادة:,الجهاز العصبي المحيطي,المستقبلات العصبية المتوزعة في الجسم,الأنسجة العصبيى المتشردة في أنحاء الجسم,الجهاز العصبي المركزي,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
31,الضغط الشرياني الوسطي للقلب هو حاصل:,ثلث ضغط النبضة مضافاً له الضغط الانبساط.,الضغط الانبساطي مضافاً إليه الضغط الانقباضي مقسوماً على 2.,الضغط الانقباضي مضافاً له ثلث ضغط النبضة.,الضغط الشرياني مقسوماً على زمن الضربة القلبية.,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
933,بسبب زيادة حجم البول ونقص اسموليته:,تثبيط افراز الرينين,تثبيط افراز ADH,زيادة Gfr,زيادة نفوذية القناة الجامعة للماء,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
34,من تأثيرات الأنجيوتنسين || كل ما يلي ما عدا:,يقبض الأوعية.,يثبط إفراز الألدوستيرون.,يحبس السوائل.,يزيد الحساسية للمقبضات.,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
66,إن تنوع عروض النبضات من النبضات الفائقة القصر الفمتوثانية إلى التشغيل بنمط الموجة المستمرة يجعلها ملائمة في:,دراسة أعمار الفلورة للجزيئات الصيدلانية,دراسة خصائص أنصاف النواقل,تجارب مجالات الليزر القمرية,كل ما سبق صحيح.,,,D,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
746,ان تراكم CO2 في الاستاخ مع بقاءO2 سوي :,يوسع المجرى الهوائي المؤدي إلى هذا السنخ,يضيق المجرى الهوائي المؤدي إلى هذا المسنخ,يوسع الأوعية الدموية الرئوية,يضيق الأوعية الدموية الرئوية,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
14,- من العضلات الزفيرية:,العضلة الترقوية الخشائية.,العضلة الأخمعية.,المنشارية.,الوربية الباطنة.,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1179,يقصد به تحديد الاماكن المنبهة من الجسم :,التعرف الحيزي,تمييز حس النقطتين,الحس المجسم,اضطراب نظم,,,A,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
171,تعمل مضخة الصوديوم – بوتاسيوم بالتجاهين عند:,ارتفاع تركيز الصوديوم داخل الخلايا,ارتفاع تركيز البوتاسيوم خارج الخاليا,ارتفاع قيمة المدروج الكهربائي الكيميائي للصوديوم والبوتاسيوم,نقصان قيمة المدروج الكهربائي الكيميائي للصوديوم والبوتاسيوم,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
50,كل ما يلي صحيح عدا :,"عدد الكريات الحمراء عند المرأة ٤,٨ مليون كرية ملم تقريبا.",معدل الهيموغلوبين عند الرجل ١٣-١٦ غرام / ۱۰۰ مل,الهيماتوكريت هو كمية الخضاب في ۱۰۰ مل من الدم,معظم الكريات الحمراء قطرها ۷-۸ مكرون.,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
311,الزراق ناتج عن حالات :,فقر الدم بشكل شائع,انحلال الدم,احمرار الدم,كل ما سبق صحيح,,,C,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
15,كل ما يلي من العوامل التي تؤمن عودة الدم إلى القلب ما عدا:,الحركات التنفسية.,الصمامات الوريدية.,الضغط الدموي.,التقلص العضلي.,,,C,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
22,تنقص النفوذية الشعيرية بتأثير:,الهيستامين.,الحماض.,عوز فيتامين C,الستيروئيدات القشرية,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1332,اختر الاجابة الخاطئة :,لقشرة المخ دور في تفسير مواصفات الالم و توضيعه,يمكن تقدير درجة الحرارة عندما يصل التنبيه للمهاد,يمكن للالم ان يدرك كليا في المهاد,لا يمر المسلك الشمي في المهاد,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
1134,هرمونات تختزن بكميات ضئيلة :,ببتيدية,ستيروئيدية,أمينية,سكرية,,,B,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
45,يرتبط abotransferrin مع الحديد ليشكل :,الفرتين.,الترانسفيرين.,هيمو سدرين.,كل ما سبق خطأ.,,,B,Y2,Physiology,ABCD,Physiology,,,,,,,,,,,
175,كل ما يلي صحيح عن الهيولي عدا:,سائل خلالي ( خارج خلوي ),يملأ الفراغات بين اللييفات العضلية,يحوي كمية كبيرة من البوتاسيوم والمغنزيوم والفوسفات,يحوي عدد قليل من المتقدرات,,,D,Y1,Physiology,ABCD,Physiology,,,,,,,,,,,
