ID,QUESTION,GROUND TRUTH,MODEL,PREDICTION,LABEL
,,,meditron,إحصاء وصفي.,
,,,mistral_7b,إحصاء بيانات,
,,,mistral_small,إحصاء وصفي,
,,,silma,الإحصاء الوصفي,
850,كم يتراوح عدد الفئات غالباً؟,بين 5 و15 فئة,allam_7b_inst_prev,بين 6-10,
,,,aya_expanse_8b,4-6 فئات,
,,,claude,من 3 إلى 5 فئات,
,,,deepseek,من 5 إلى 9,
,,,falcon,5-9,
,,,fanar,وح عدد الفئات غالباً؟,
,,,gemini,6-12,
,,,gemma3_27b_it,أربع فئات,
,,,gpt52,من ٣ إلى ٧ فئات,
,,,jais,عادةً ما يتراوح عدد الفئات بين **2 إلى 5 فئات**.,
,,,llama31_8b_inst,فئات الدم,
,,,llama33_70b_inst,بين 4 إلى 6 فئات,
,,,med42,4-6 فئات,
,,,medgemma,10-12 فئة,
,,,meditron,4-6 فئات.,
,,,mistral_7b,5 فئات,
,,,mistral_small,12 إلى 16 فئة,
,,,silma,4,
868,ما هي الطريقة التي تمتاز بوصول الإجابات خلال وقت قصير وتتميز ببساطتها وقلة تكاليفها وسرعتها؟,استخدام الانترنيت والمواقع الاجتماعية,allam_7b_inst_prev,الإجابة: المقابلة الهاتفية,
,,,aya_expanse_8b,التشخيص السريع.,
,,,claude,الاستبيان البريدي,
,,,deepseek,الاستبيان,
,,,falcon,التحليل الإحصائي,
,,,fanar,استبيان,
,,,gemini,الاستبيان,
,,,gemma3_27b_it,التشخيص السريري,
,,,gpt52,الاستبيان الإلكتروني,
,,,jais,الإجابة: البريد العادي,
,,,llama31_8b_inst,الفحص السريع المباشر.,
,,,llama33_70b_inst,الفحص السريري,
,,,med42,الفحوصات السريعة (Rapid Tests),
,,,medgemma,استبيان سريع,
,,,meditron,الفحص السريري.,
,,,mistral_7b,SMS (Short Message Service),
,,,mistral_small,اختبار ELISA,
,,,silma,رسائل نصية,
888,ما هو الإجراء الأول الذي يجب إجراؤه قبل عملية sleeve gastrectomy لمريض البدانة الذي لديه BMI يساوي 40؟,الحصول على موافقة المريض.,allam_7b_inst_prev,تقييم التخدير,
,,,aya_expanse_8b,تقييم شامل للصحة العامة.,
,,,claude,Upper GI endoscopy,
,,,deepseek,تقييم طبي شامل قبل الجراحة,
,,,falcon,تقييم المخاطر,
,,,fanar,rectomy لمريض البدانة الذي لديه BMI يساوي 40؟,
,,,gemini,تقييم نفسي شامل,
,,,gemma3_27b_it,تقييم ما قبل الجراحة,
,,,gpt52,التنظير الهضمي العلوي,
,,,jais,تقييم نقص التغذية.,
,,,llama31_8b_inst,التقييم النفسي.,
,,,llama33_70b_inst,تقييم طبّي شامل,
,,,med42,فحص شامل لصحة المريض,
,,,medgemma,تقييم ما قبل الجراحة,
,,,meditron,إجراء تحليل دم شامل.,
,,,mistral_7b,تحليلات قبلية,
,,,mistral_small,تقييم طبي شامل,
,,,silma,تقييم الحالة النفسية,
891,ما هو التشخيص المحتمل لمريض عمره 50 سنة يعاني من أصمية حديثة وألم في الربع العلوي الأيمن لمدة 3-4 أشهر مع فحص سريري سلبي ووظائف كبد طبيعية وتنظير هضمي علوي طبيعي بينما أظهر الإيكو وجود آفة كيسية وحيدة تبلغ 6 سم؟,داء كيسي بسيط,allam_7b_inst_prev,كيسة مرارية,
,,,aya_expanse_8b,ورم كيسي كبدي حميد,
,,,claude,خراج كبدي أميبي,
,,,deepseek,كيسة مائية كبدية,
,,,falcon,ورم كيسي في الكبد,
,,,fanar,بينما أظهر الإيكو وجود آفة كيسية وحيدة تبلغ 6 سم؟,
,,,gemini,كيسة مائية كبدية,
,,,gemma3_27b_it,كوليسترولية في المرارة,
,,,gpt52,كيسة مائية كبدية,
,,,jais,حصى صفراوية,
,,,llama31_8b_inst,السرطان المخاطرة,
,,,llama33_70b_inst,ورم كبدي خبيث,
,,,med42,ورم كبدي خبيث (سرطان الكبد),
,,,medgemma,كيسة الكبد الطفيلية,
,,,meditron,ورم كبدي خبيث.,
,,,mistral_7b,سرطان الكلي,
,,,mistral_small,ورم كيسي كبدي,
,,,silma,سرطان الكبد,
895,ما هو التشخيص المحتمل لمريض يبلغ من العمر 60 سنة يراجع بقصة ألم بطني ويرقان وحرارة مع عروءات؟,التهاب طرق صفراوية صاعد.,allam_7b_inst_prev,التهاب الكبد الفيروسي,
,,,aya_expanse_8b,التهاب الكبد الوبائي (مثل فيروس A أو B أو C),
,,,claude,التهاب الأقنية الصفراوية (ثالوث شاركو),
,,,deepseek,التهاب الأقنية الصفراوية الصاعد,
,,,falcon,التهاب المرارة الحويصلي,
,,,fanar,المحتمل لمريض يبلغ من العمر 60 سنة يراجع بقصة ألم بطني ويرقان وحرارة مع عروءات؟,
,,,gemini,التهاب الأقنية الصفراوية الصاعد,
,,,gemma3_27b_it,التهاب الأقنية الصفراوية,
,,,gpt52,التهاب الأقنية الصفراوية الحاد,
,,,jais,الإجابة: التهاب الأقنية الصفراوية الأولي,
,,,llama31_8b_inst,التهاب الكبد الالتهابي المزمن,
,,,llama33_70b_inst,التهاب المعدة والأمعاء الفيروسي,
,,,med42,التهاب الصفيحة (Perforated Appendicitis),
,,,medgemma,التهاب الأقنية الصفراوية الصاعد,
,,,meditron,التهاب البنكرياس الحاد.,
,,,mistral_7b,إنفلونزا فيبروكوسيس,
,,,mistral_small,التهاب المرارة الحادة,
,,,silma,التهاب الكبد الفيروسي,
905,ما هي الخطوة التالية في تدبير شاب عمره 20 سنة راجع الإسعاف بعد 20 يوماً من استئصال زائدة ملتهبة ويعاني من إقياء مع تمدد بطن وإيلام خفيف، وتعداد WBC كان 14000 كرية/مم3 والكهارل طبيعية؟,مراقبة 24 ساعة أخرى مع وضع NG.,allam_7b_inst_prev,تصوير بطن,
,,,aya_expanse_8b,تصوير البطن بالأشعة السينية أو التصوير بالموجات فوق الصوتية.,
,,,claude,CT abdomen and pelvis (تصوير طبقي محوري للبطن والحوض),
,,,deepseek,التصوير المقطعي المحوسب للبطن,
,,,falcon,استكشاف جراحي,
,,,fanar,استئصال الزائدة مرة أخرى,
,,,gemini,تصوير طبقي محوري للبطن والحوض,
,,,gemma3_27b_it,انسداد معوي جزئي,
,,,gpt52,تصوير طبقي محوري للبطن مع حقن وريدي,
,,,jais,الخطوة التالية هي إجراء **أشعة سينية بالبابين (CT Abdomen)**.,
,,,llama31_8b_inst,متابعة جراحي إعادة,
,,,llama33_70b_inst,فحص بطن ومتابعة,
,,,med42,فحص بالتصوير الطبقي (CT scan) البطن,
,,,medgemma,انسداد معوي جزئي,
,,,meditron,إجراء التصوير بالأشعة المقطعية للبطن.,
,,,mistral_7b,علاج اسعافي وتحديد نوع الإسعاف,
,,,mistral_small,تصوير البطن,
,,,silma,فحص دم كامل,
911,ما هو التشخيص الأقوى لمريض عمره 65 سنة تطور لديه ألم بطني حاد مفاجئ مستمر في الربع العلوي الأيمن منذ ساعة، تلاه آلام مغصية سرية مع غثيان، والفحص السريري يبدي سحنة سمية مع فحص بطني سوي تقريباً؟,انسداد أمعاء بنقص التروية.,allam_7b_inst_prev,انسداد معوي حاد,
,,,aya_expanse_8b,التهاب البنكرياس الحاد,
,,,claude,احتشاء المساريقا الحاد (Acute mesenteric ischemia),
,,,deepseek,التهاب المرارة الحاد,
,,,falcon,التهاب المرارةrole,
,,,fanar,التهاب الزائدة الدودية الحاد,
,,,gemini,احتشاء المساريقي الحاد,
,,,gemma3_27b_it,التهاب المرارة الحاد,
,,,gpt52,احتشاء مساريقي حاد,
,,,jais,الإنتان (Sepsis),
,,,llama31_8b_inst,التهاب المعدة المزمن,
,,,llama33_70b_inst,التهاب المرارة الحاد,
,,,med42,التهاب المرارة الحاد (التهاب كولسystic Acute),
,,,medgemma,التهاب المرارة الحاد,
,,,meditron,التهاب المرارة الحاد.,
,,,mistral_7b,إنفلونزا عمدية أو سرطان البطن,
,,,mistral_small,حصوة مرارية,
,,,silma,انسداد قولون,
914,ما هي الحالة التي لا تدخل في التشخيص التفريقي لطفلة عمرها 10 سنوات تعاني منذ ساعتين من ألم حفرة حرقفية يمنى دون إيلام مرتد؟,نزف رتج ميكل.,allam_7b_inst_prev,التهاب الزائدة الدودية,
,,,aya_expanse_8b,لا علاقة له بالقلب.,
,,,claude,التهاب الزائدة الدودية,
,,,deepseek,التهاب الزائدة الدودية,
,,,falcon,التهاب اللثة,
,,,fanar,يلام مرتد؟,
,,,gemini,حمل هاجر,
,,,gemma3_27b_it,التهاب الزائدة الدودية,
,,,gpt52,الحمل الهاجر,
,,,jais,الحمى الروماتيزمية,
,,,llama31_8b_inst,التهاب الزائدة الدودية,
,,,llama33_70b_inst,التهاب السحايا,
,,,med42,التهاب كبدي فيروسي,
,,,medgemma,التهاب الزائدة الدودية,
,,,meditron,التهاب اللوزة الحنكية.,
,,,mistral_7b,حالة ألم حفرة حرقفية دون إيلام مرتد (Status of burning mouth syndrome without trigger factors),
,,,mistral_small,التهاب الزائدة الدودية,
,,,silma,التهاب الكبد,
919,ما هو التشخيص للآفة التي قد تسبب فقراً دموياً والنزف الحاد منها غير شائع والتي تم اكتشافها بالتنظير الهضمي العلوي لرجل عمره 55 سنة؟,2. سرطانة معدية.,allam_7b_inst_prev,الإجابة: ورم وعائي,
,,,aya_expanse_8b,قرحة معوية مزمنة,
,,,claude,رتج ميكل (Meckel's diverticulum),
,,,deepseek,قرحة هضمية,
,,,falcon,قرحة المعدة,
,,,fanar,ها بالتنظير الهضمي العلوي لرجل عمره 55 سنة؟,
,,,gemini,آفة ديموليكس,
,,,gemma3_27b_it,ورم وعائي معدي.,
,,,gpt52,مرض ديلولافوا,
,,,jais,الزوائد اللحمية القولونية (ساركوما معوية),
,,,llama31_8b_inst,التهاب القولون العصبي المزمن,
,,,llama33_70b_inst,ورم غدي ليفي في المعدة,
,,,med42,ورم غدي مريء,
,,,medgemma,قرحة المعدة,
,,,meditron,ورم سرطاني في المعدة.,
,,,mistral_7b,آفات دموية غير شائعة بالنزف الحاد,
,,,mistral_small,ورم غدي معدي معوي بؤري,
,,,silma,نزيف من القولون العلوي,
924,ما هو التشخيص الأكثر احتمالاً لفتاة في الربيع الخامس تشكو من عسرة تنفس مع وجود كتلة في جوف الفم بقطر 3 سم على الخط الناصف وعلى مؤخرة اللسان؟,2. درق لسانية.,allam_7b_inst_prev,ورم حبيبي,
,,,aya_expanse_8b,ورم ليفي حميد (ليوما),
,,,claude,Thyroglossal duct cyst (كيسة مجرى الدرق),
,,,deepseek,كيسة درقية لسانية,
,,,falcon,ورم دهني (lipoma),
,,,fanar,ورم اللسان,
,,,gemini,ورم لسان درقي,
,,,gemma3_27b_it,ورم لسان حميد,
,,,gpt52,الغدة الدرقية اللسانية,
,,,jais,ORAL CALCIFICATION,
,,,llama31_8b_inst,التهاب الحنجرة المزمن.,
,,,llama33_70b_inst,ورم ليفي لسان,
,,,med42,ورم ليفي لانجيرهانز (Lymphangioma) أو ورم ليمفاوي (Lymphatic Cyst) في سياق احتمال وجود كيس ليمفاوي نادر في,
,,,medgemma,ورم لسان خلفي,
,,,meditron,ورم لساني.,
,,,mistral_7b,فيروس سارسكوفيروس,
,,,mistral_small,ورم ليمفاوي,
,,,silma,الورم الليفي,
927,ما هو التشخيص المحتمل لمريض عمره 50 سنة يعاني من أصمية حديثة وألم في الربع العلوي الأيمن لمدة 3-4 أشهر مع فحص سريري سلبي ووظائف كبد طبيعية وتنظير هضمي علوي طبيعي بينما أظهر الإيكو وجود آفة كيسية وحيدة تبلغ 6 سم؟,4. داء كيسي بسيط,allam_7b_inst_prev,كيسة مرارية,
,,,aya_expanse_8b,ورم كيسي كبدي حميد,
,,,claude,خراج كبدي أميبي,
,,,deepseek,كيسة مائية كبدية,
,,,falcon,ورم كيسي في الكبد,
,,,fanar,كيس صفراوي,
,,,gemini,كيسة مائية كبدية,
,,,gemma3_27b_it,كوليسترولية في المرارة,
,,,gpt52,كيسة مائية كبدية,
,,,jais,حصى صفراوية,
,,,llama31_8b_inst,السرطان المخاطرة,
,,,llama33_70b_inst,ورم كبدي خبيث,
,,,med42,ورم كبدي خبيث (سرطان الكبد),
,,,medgemma,كيسة الكبد الطفيلية,
,,,meditron,ورم كبدي خبيث.,
,,,mistral_7b,سرطان الكلي,
,,,mistral_small,ورم كيسي كبدي,
,,,silma,سرطان الكبد,
931,ما هو التشخيص المحتمل لمريضة تبلغ من العمر 40 سنة عولجت لالتهاب مرارة حاد حيث لوحظ وجود مرارة مجسوسة غير ممضة، لم يكن هناك ترفع حروري وكانت المريضة بشكل عام بصحة جيدة؟,3. قيلة مخاطية في المرارة.,allam_7b_inst_prev,حصوات المرارة,
,,,aya_expanse_8b,التهاب البنكرياس الحاد.,
,,,claude,سرطان المرارة,
,,,deepseek,التهاب المرارة المزمن,
,,,falcon,حصى المرارة بدون أعراض,
,,,fanar,Answer in one concise line.,
,,,gemini,سرطان رأس البنكرياس,
,,,gemma3_27b_it,التهاب المرارة اللاعرضي,
,,,gpt52,علامة كورفوازييه,
,,,jais,حصى المرارة (Cholelithiasis),
,,,llama31_8b_inst,التهاب المرارة المزمن المزمن المزمن.,
,,,llama33_70b_inst,التهاب المرارة الحاد المزمن,
,,,med42,مرارة جالستونية صامتة,
,,,medgemma,مرارة مجسوسة غير ممضة,
,,,meditron,التهاب المرارة الحاد.,
,,,mistral_7b,عفريت داخلية غير ممضوجة,
,,,mistral_small,التهاب المرارة المزمن,
,,,silma,الحصوة المرارية,
